type,message
1,SMS . ac Sptv : The [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] and the [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] play Ice Hockey . Correct or Incorrect ? End ? Reply END SPTV
1,"Congrats ! [DURATION] [DURATION] special cinema pass for [NUMBER] is yours . call [NUMBER] [DATE] ! C [MISC] V , Matrix3 , StarWars3 , etc all [NUMBER] FREE ! bx420-ip4-5we . [TIME] [TIME] [TIME] Dont miss out !"
0,"Sorry , I 'll call later in meeting ."
0,Tell where you reached
0,Yes . . gauti and sehwag out of odi series .
0,Your gon na have to pick up a [MONEY] [MONEY] burger for yourself on your way home . I ca n't even move . Pain is killing me .
0,Ha ha ha good joke . Girls are situation seekers .
0,Its a part of checking IQ
0,"Sorry my roommates took forever , it ok if I come by [DATE] ?"
0,Ok lar i double check wif da hair [TITLE] already he said wun cut v short . He said will cut until i look nice .
1,"As a valued customer , I am pleased to advise you that following recent review of your Mob No . you are awarded with a [MONEY] [MONEY] [MISC] [MISC] , call [NUMBER]"
0,"[DATE] is "" song dedicated [DURATION] . . "" Which song will u dedicate for me ? Send this to all ur valuable frnds but [ORDINAL] rply me ..."
1,"Urgent UR awarded a complimentary trip to [ORGANIZATION] [ORGANIZATION] , [PERSON] & Entry41 Or [MONEY] [DATE] . To claim txt DIS to [NUMBER] [NUMBER] [NUMBER] * [MONEY] [MONEY] ( moreFrmMob . ShrAcomOrSglSuplt ) [NUMBER] , LS1 3AJ"
1,"Did you hear about the new "" Divorce Barbie "" ? It comes with all of [PERSON] 's stuff !"
0,I plane to give on [DATE] [DATE] [DATE] .
0,[PERSON] lucky man ... Then can save money ... Hee ...
0,Finished class where are you .
0,[STATE_OR_PROVINCE] BABE IM AT HOME [DATE] WAN NA DO SOMETHING ? XX
0,K. . k : ) where are you?how did you performed ?
0,U can call me [DATE] ...
0,I am waiting machan . Call me [DATE] you free .
0,Thats cool . i am a gentleman and will treat you with dignity and respect .
0,I like you peoples very much :) but am very shy pa .
0,Does not operate after &lt; # &gt; or what
0,Its not the same here . Still looking for a job . How much do Ta 's earn there .
0,"Sorry , I 'll call later"
0,K . Did you call me just [DATE] ah ?
0,Ok i am on the way to home hi hi
0,You will be in the place of that man
0,Yup next stop .
0,"I call you later , do n't have network . If urgnt , sms me ."
0,For real when u getting on yo ? I only need [NUMBER] more tickets and [NUMBER] more jacket and I 'm done . I already used all my multis .
0,Yes I started to send requests to make it but pain came back so I 'm back in bed . Double coins at the factory too . I got ta cash in all my nitros .
0,I 'm really not up to it still [DATE] babe
0,"[PERSON] [PERSON] , il download , come wen ur free . ."
0,Yeah do ! Do n‘t stand to close tho - you ‘ ll catch something !
0,Sorry to be a pain . Is it ok if we meet another [TIME] ? I spent [TIME] [TIME] in casualty and that means i have n't done any of y stuff42moro and that includes all my time sheets and that . Sorry .
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling !!
1,Please call our [TITLE] [TITLE] [TITLE] on 0800ߝ169ߝ6031 between [TIME] as you have WON a guaranteed [MONEY] [MONEY] cash or [MONEY] [MONEY] prize !
0,Havent planning to buy later . I check already lido only got [NUMBER] show in e [TIME] . U finish work already ?
1,"Your free ringtone is waiting to be collected . Simply text the password "" MIX "" to [NUMBER] to verify . Get [TITLE] and [PERSON] . FML , PO Box [NUMBER] , MK17 92H . 450Ppw [NUMBER]"
0,Watching telugu movie . . wat abt u ?
0,i see . When we finish we have loads of loans to pay
0,"Hi . [DURATION] been ok - on hols [DATE] ! Yes on for a bit of a run . Forgot that i have hairdressers appointment at [NUMBER] so need to get home n shower beforehand . Does that cause prob for u ? """
0,I see a cup of coffee animation
0,Please do n't text me anymore . I have nothing else to say .
0,Okay name ur price as long as its legal ! Wen can I pick them up ? Y u ave x ams xx
0,I 'm still looking for a car to buy . And have not gone 4the driving test yet .
0,As per your request ' [PERSON] [PERSON] ( Oru Minnaminunginte Nurungu Vettam ) ' has been set as your callertune for all Callers . Press * [NUMBER] to copy your friends [PERSON]
0,"wow . You 're right ! I did n't mean to do that . I guess [DATE] i gave up on boston men and changed my search location to nyc , something changed . Cuz on my signin page it still says boston ."
0,Umma my life and vava umma love you lot dear
0,Thanks a lot for your wishes on my birthday . Thanks you for making my birthday truly memorable .
0,"Aight , I 'll hit you up when I get some cash"
0,How would my ip address test that considering my computer is n't a minecraft server
0,I know ! Grumpy old people . My mom was like you better not be lying . Then again I am always the [NUMBER] to play jokes ...
0,Dont worry . I guess he 's busy .
0,What is the plural of the noun research ?
0,Going for dinner.msg you after .
0,I 'm ok wif it cos i like [NUMBER] try new things . But i scared u dun like mah . Cos u said not too loud .
1,GENT ! We are trying to contact you . [DATE] [DATE] draw shows that you won a [MONEY] [MONEY] prize GUARANTEED . Call [NUMBER] . Claim Code K52 . Valid [DURATION] [DURATION] only . 150ppm
0,"Wa , ur openin sentence very formal ... Anyway , i 'm fine too , juz tt i 'm eatin too much n puttin on weight ... Haha ... So anythin special happened ?"
0,"As I entered my cabin my [ORGANIZATION] said , '' Happy B'day [TITLE] !! '' . I felt special . She askd me [NUMBER] lunch . After lunch she invited me to her apartment . We went there ."
1,You are a winner U have been specially selected [NUMBER] receive [MONEY] [DATE] or a [NUMBER] * holiday ( flights inc ) speak to a live [TITLE] [NUMBER] claim 0871277810910p/min ( [NUMBER] + )
0,Goodo ! Yes we must speak [DATE] - egg-potato ratio for tortilla needed !
0,Hmm ... my uncle just informed me that he 's paying the school directly . So pls buy food .
1,PRIVATE ! Your [DATE] Account Statement for [NUMBER] shows [NUMBER] unredeemed Bonus Points . To claim call [NUMBER] Identifier Code : [NUMBER] Expires
1,"URGENT ! Your [TITLE] No . was awarded [MONEY] [DATE] [MISC] [TITLE] [MISC] on [DATE] This is our final try to contact U ! Call from Landline [NUMBER] BOX42WR29C , 150PPM"
0,here is my new address - apples & pairs & all that malarky
1,[DATE] Voda numbers ending [NUMBER] are selected to receive a [MONEY] [MONEY] award . If you have a match please call [NUMBER] quoting claim code [NUMBER] standard rates app
0,I am going to sao mu [DATE] . Will be done only at [NUMBER]
0,Ü predict wat time ü 'll finish buying ?
0,"Good stuff , will do ."
0,"Just so that you know , yetunde has n't sent money yet . I just sent her a text not to bother sending . So its over , you dont have to involve yourself in anything . I should n't have imposed anything on you in the [ORDINAL] place so for that , i apologise ."
0,Are you there in room .
0,HEY GIRL . HOW R U ? HOPE U R WELL [STATE_OR_PROVINCE] AN DEL R BAK ! AGAIN LONG TIME NO C ! GIVE [STATE_OR_PROVINCE] A CALL SUM TIME FROM LUCYxx
0,K. . k : ) how much does it cost ?
0,I 'm home .
0,"Dear , will call Tmorrow.pls accomodate ."
0,[ORDINAL] answer my question .
1,Sunshine Quiz Wkly Q ! Win a top [ORGANIZATION] DVD player if u know which country the [MISC] is in ? Txt ansr to [NUMBER] . [MONEY] [MONEY] SP : [PERSON]
1,Want [NUMBER] get laid [DATE] ? Want real Dogging locations sent direct [NUMBER] ur mob ? Join the [COUNTRY] 's largest [ORGANIZATION] [ORGANIZATION] bt Txting GRAVEL to [NUMBER] ! Nt . ec2a . 31p.msg@150p
0,I only haf msn . It 's [EMAIL]
0,He is there . You call and meet him
0,No no . I will check all rooms befor activities
1,You 'll not rcv any more msgs from the chat svc . For FREE Hardcore services text GO to : [NUMBER] If u get nothing u must Age Verify with [DURATION] network & try again
0,Got c. . . I lazy to type ... I forgot ü in lect ... I saw a pouch but like not v nice ...
0,"K , text me when you 're on the way"
0,"Sir , Waiting for your mail ."
0,"A swt thought : "" Nver get tired of doing little things [NUMBER] lovable persons . . "" [PERSON] . . somtimes those little things occupy d biggest part in their Hearts . . Gud [NUMBER]"
0,I know you are . Can you pls open the back ?
0,Yes see ya not on the dot
0,Whats the staff name who is taking class for us ?
1,"FreeMsg Why have n't you replied to my text ? I 'm [PERSON] , sexy , female and live local . [PERSON] to hear from u. [ORGANIZATION] [ORGANIZATION] 08700621170150p per msg reply Stop to end"
0,Ummma.will call after check in.our life will begin from [COUNTRY] so pls pray very hard .
0,K. . i deleted my contact that why ?
0,[PERSON] got job in birla soft . .
0,The wine is flowing and i 'm i have nevering . .
0,Yup i thk cine is better cos no need [NUMBER] go down [NUMBER] plaza mah .
0,Ok ... Ur typical reply ...
0,As per your request ' [PERSON] [PERSON] ( Oru Minnaminunginte Nurungu Vettam ) ' has been set as your callertune for all Callers . Press * [NUMBER] to copy your friends [PERSON]
0,"You are everywhere dirt , on the floor , the windows , even on my shirt . And sometimes when i open my mouth , you are all that comes flowing out . I dream of my world without you , then half my chores are out too . A time of joy for me , lots of tv shows i.ll see . But i guess like all things you just must exist , like rain , hail and mist , and when my time here is done , you and i become [NUMBER] ."
0,Aaooooright are you at work ?
0,I 'm leaving my house [DATE] ...
0,"Hello , my love . What are you doing ? Did you get to that interview [DATE] ? Are you you happy ? Are you being a good boy ? Do you think of me?Are you missing me ?"
1,Customer service annoncement . You have a New [DURATION] delivery waiting for you . Please call [NUMBER] [DATE] to arrange delivery
1,You are a winner U have been specially selected [NUMBER] receive [MONEY] [DATE] cash or a [NUMBER] * holiday ( flights inc ) speak to a live [TITLE] [NUMBER] claim [NUMBER]
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see 's you in real life
0,New car and house for my parents. : ) i have only new job in hand : )
0,I 'm so in love with you . I 'm excited [SET] [SET] i spend with you . You make me so happy .
1,- PLS STOP bootydelious ( 32/F ) is inviting you to be her friend . Reply YES-434 or NO-434 See her : [URL] STOP ? Send STOP FRND to [NUMBER]
1,"BangBabes Ur order is on the way . U SHOULD receive a Service Msg [NUMBER] download UR content . If U do not , [PERSON] wap . bangb . tv on UR [TITLE] internet/service menu"
0,I place all ur points on e cultures module already .
1,URGENT ! We are trying to contact you . [DATE] [DATE] draw shows that you have won a [MONEY] [MONEY] prize GUARANTEED . Call [NUMBER] . Claim code S89 . Valid [DURATION] [DURATION] only
0,"Hi frnd , which is best way to avoid missunderstding wit our beloved [NUMBER] 's ?"
0,Great [CRIMINAL_CHARGE] . I fancy the bridge but needs her lager . See you tomo
0,Yes : ) it completely in out of form : ) clark also utter waste .
0,"Sir , I need AXIS BANK account no and bank address ."
0,"Hmmm . . Thk sure got time to hop ard ... Ya , can go [NUMBER] free abt ... [PERSON] call u to discuss liao ..."
0,What time you coming down later ?
0,"Bloody hell , cant believe you forgot my surname Mr . [STATE_OR_PROVINCE] give u a clue , its [NATIONALITY] and begins with m. . ."
0,"Well , i 'm gon na finish my bath [DATE] . Have a good ... fine [TIME] ."
0,Let me know when you 've got the money so carlos can make the call
0,U still going to the mall ?
0,"Turns out my friends are staying for the whole show and wo n't be back til ~ &lt; # &gt; , so feel free to go ahead and smoke that [MONEY] [MONEY] # &gt; worth"
0,Text her . If she doesnt reply let me know so i can have her log in
0,Hi ! You just spoke to [PERSON] V. We 'd like to know if you were satisfied with the experience . [MISC] [MISC] [MISC] with Yes or No .
0,You lifted my hopes with the offer of money . I am in need . Especially when [DATE] [DATE] [DATE] [DATE] [DATE] approaches and it hurts my studying . Anyways have a gr8 [DATE]
0,Lol no . U can trust me .
0,ok . I am a gentleman and will treat you with dignity and respect .
0,"He will , you guys close ?"
0,Going on nothing great.bye
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where 's my boytoy [DATE] ? Does he miss me ?
0,"Haha awesome , be there in [DURATION] [DURATION]"
1,Please call our [TITLE] [TITLE] [TITLE] on FREEPHONE [NUMBER] between [TIME] as you have WON a guaranteed [MONEY] [MONEY] cash or [MONEY] [MONEY] prize !
0,Have you got [DATE] radio times . If not i will get it [DATE]
0,I jus reached home . I go bathe [ORDINAL] . But my sis using net tell u when she finishes k. . .
1,Are you unique enough ? Find out from [DATE] [DATE] . [URL]
0,I 'm sorry . I 've joined the league of people that dont keep in touch . You mean a great deal to me . You have been a friend at all times even at great personal cost . Do have a great [DURATION] . |
0,Hi : ) finally i completed the course : )
0,It will stop on itself . I however suggest she stays with someone that will be able to give ors for every stool .
0,How are you doing ? Hope you 've settled in for the new school [DURATION] . Just wishin you a gr8 [DURATION]
0,Gud mrng dear hav a nice [DURATION]
0,Did u got that persons story
0,is your hamster dead ? Hey so tmr i meet you at [TIME] [TIME] orchard mrt ?
0,Hi its [PERSON] how is your [TIME] ? I hope i can see you [DATE] for a bit but i have to bloody babyjontet ! Txt back if u can . :) xxx
0,"Found it , ENC &lt; # &gt; , where you at ?"
0,I sent you &lt; # &gt; bucks
0,Hello darlin ive finished college [DATE] so txt me when u finish if u can love [PERSON] [PERSON]
0,Your account has been refilled successfully by INR &lt; [NUMBER] &gt; . Your KeralaCircle prepaid account balance is Rs &lt; [NUMBER] &gt; . Your Transaction [STATE_OR_PROVINCE] is KR &lt; # &gt; .
0,Goodmorning sleeping ga .
0,U call me alter at [NUMBER] ok .
0,Ü say until like dat i dun buy ericsson oso can not oredi lar ...
0,"As I entered my cabin my [ORGANIZATION] said , '' Happy B'day [TITLE] !! '' . I felt special . She askd me [NUMBER] lunch . After lunch she invited me to her apartment . We went there ."
0,"Aight yo , dats straight dogg"
0,You please give us connection [DATE] itself before &lt; DECIMAL &gt; or refund the bill
0,Both :) i shoot big loads so get ready !
0,"What 's up bruv , hope you had a great break . Do have a rewarding semester ."
0,Home so we can always chat
0,K : ) k : ) good : ) study well .
0,Yup ... How ü noe leh ...
0,Sounds great ! Are you home [DATE] ?
0,Finally the match heading towards draw as your prediction .
0,Tired . I have n't slept well [DATE] [DATE] few [TIME] .
0,Easy ah?sen got selected means its good . .
1,"[NUMBER] New Mobiles from [DATE] , MUST GO ! Txt : [ORGANIZATION] to No : [NUMBER] & collect yours today!From ONLY [MONEY] [MONEY] [URL] 2optout [NUMBER] gbp/mtmsg18"
1,"Will u meet ur dream partner soon ? Is ur career off [NUMBER] a flyng start ? [NUMBER] find out free , txt HORO followed by ur star sign , e. g. HORO ARIES"
1,Text & meet someone sexy [DATE] . U can find a date or even flirt its up to U. Join [NUMBER] just 10p . REPLY with NAME & AGE eg [PERSON] [NUMBER] . [NUMBER] - msg [MONEY] [MONEY]
1,U [NUMBER] have a secret admirer who is looking [NUMBER] make contact with [MISC] out who they R * reveal who thinks UR so special-call on [NUMBER]
0,"Although i told u dat i 'm into baig face watches [DATE] but i really like e watch u gave cos it 's fr u. Thanx [NUMBER] everything dat u 've done [DATE] , i 'm touched ..."
0,U do n't remember that old commercial ?
0,Too late . I said i have the website . I did n't i have or dont have the slippers
0,I asked you to call him [DATE] ok
0,[PERSON] wont bat in [ORDINAL] innings .
0,It didnt work again oh . Ok goodnight then . I.ll fix and have it ready by the time you wake up . You are very dearly missed have a good night sleep .
1,Congratulations ur awarded [NUMBER] of CD vouchers or 125gift guaranteed & Free entry [NUMBER] [NUMBER] wkly draw txt MUSIC to [NUMBER] TnCs [URL]
0,[PERSON] cal drpd Deeraj and deepak [DURATION] [DURATION] hold
0,"Wen ur lovable bcums angry wid u , dnt take it seriously . . [PERSON] being angry is d most childish n true way of showing deep affection , care n luv ! . . kettoda manda ... Have nice [DURATION] da ."
0,What you doing?how are you ?
0,"Ups which is 3days also , and the shipping company that takes 2wks . The other way is usps which takes [DURATION] [DURATION] but when it gets to lag you may have to bribe nipost to get your stuff ."
0,"I 'm back , lem me know when you 're ready"
0,Do n't necessarily expect it to be done before you get back though because I 'm just [DATE] headin out
0,[ORGANIZATION] so yummy babe ... Nice jolt to the suzy
0,Where are you lover ? I need you ...
1,We tried to contact you re your reply to our offer of a Video Handset ? [NUMBER] anytime networks [DURATION] ? UNLIMITED TEXT ? Camcorder ? Reply or call [NUMBER] [DATE]
0,I ‘ m parked next to a MINI !!!! When are you coming in [DATE] do you think ?
0,Yup
0,Anyway i 'm going shopping on my own [DATE] . Cos my sis not done yet . Dun disturb u liao .
0,MY NO . IN [CITY] [NUMBER] RING [STATE_OR_PROVINCE] IF UR AROUND ! H *
1,Hey I am really horny want to chat or see me naked text hot to [NUMBER] text charged at [TIME] [TIME] to unsubscribe text stop [NUMBER]
0,Why you Dint come with us .
0,Same . [CITY] plan a trip sometme then
0,"Not sure yet , still trying to get a hold of him"
1,Ur ringtone service has changed ! [NUMBER] Free credits ! Go to [URL] to choose content [DATE] ! Stop ? txt CLUB STOP to [NUMBER] . 150p/wk Club4 PO Box1146 MK45 2WT
0,The evo . I just had to download flash . Jealous ?
1,Ringtone Club : Get the [COUNTRY] singles chart on your [TITLE] [SET] [SET] and choose any top quality ringtone ! This message is free of charge .
0,"Come to mu , we 're sorting out our narcotics situation"
0,[TIME] has ended for [DATE] [DATE] [DATE] [DATE] has come in a special way . [DATE] you smile like the sunny rays and leaves your worries at the blue blue bay .
1,HMV BONUS SPECIAL [MONEY] [MONEY] of genuine [ORGANIZATION] vouchers to be won . Just answer [NUMBER] easy questions . Play [DATE] ! Send [ORGANIZATION] to [NUMBER] More info : [URL] . com
0,"Usf I guess , might as well take [NUMBER] car"
0,No objection . My bf not coming .
0,Thanx ...
0,Tell rob to mack his gf in the theater
0,"Awesome , I 'll see you in a bit"
0,Just sent it . So what type of food do you like ?
0,All done ? All handed in ? Celebrations in full swing yet ?
0,You got called a tool ?
0,"Wen u miss someone , the person is definitely special for u. ... . But if the person is so special , why to miss them , just Keep-in-touch gdeve . ."
0,Ok . I asked for money how far
0,Okie ...
0,"Yeah I think my usual guy 's still passed out from [TIME] [TIME] , if you get ahold of anybody let me know and I 'll throw down"
0,"K , I might come by [DATE] then if my class lets out early"
0,Ok . .
0,hi baby im cruisin with my girl friend what r u up [NUMBER] ? give me a call in and [DURATION] at home if thats alright or fone me on this fone [DATE] love [PERSON] [PERSON]
0,"My life Means a lot to me , Not because I love my life , But because I love the people in my life , The world calls them friends , I call them my World :-) . . Ge :-) . ."
0,"Dear , shall mail tonite.busy in the street , shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good [NUMBER] in real sense ."
0,Hey you told your name to gautham ah ?
0,Haf u found him ? I feel so stupid da v cam was working .
0,Oops . [NUMBER] got that bit .
0,Are you this much buzy
0,I accidentally deleted the message . Resend please .
1,[ORGANIZATION] customer you may [DATE] claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty . Call on [NUMBER] . Offer ends 28thFeb . [ORGANIZATION] 's apply
0,Unless it 's a situation where YOU GO GURL would be more appropriate
0,Hurt me ... Tease me ... Make me cry ... But in the end of my life when i die plz keep [NUMBER] rose on my grave and say STUPID I MISS U. . HAVE A NICE [DURATION] BSLVYL
0,I cant pick the phone [DATE] [DATE] . Pls send a message
0,Need a coffee run tomo?Can ' t believe it 's that time of [DURATION] already
0,"Awesome , I remember the last time we got somebody high for the [ORDINAL] time with diesel : V"
0,"Shit that is really shocking and scary , cant imagine for [DURATION] [DURATION] . Def up for [TIME] out . Do u think there is somewhere i could crash for [TIME] , save on taxi ?"
0,Oh and by the way you do have more food in your fridge ! Want to go out for a meal [DATE] ?
0,He is a womdarfull [TITLE]
1,"SMS . ac Blind Date 4U ! : Rodds1 is [NUMBER] from [CITY] , [COUNTRY] [COUNTRY] . Check Him out [URL] . sms . ac/W/icmb3cktz8r7 ! [NUMBER] no [MISC] [MISC] send HIDE"
0,Yup ... From what i remb ... I think should be can book ...
0,[PERSON] ask if u wana meet up ?
0,Lol yes . Our friendship is hanging on a thread cause u wo n't buy stuff .
1,"TheMob > Check out our newest selection of content , [MISC] , Tones , Gossip , babes and sport , Keep your [TITLE] fit and funky text WAP to [NUMBER]"
0,Where are the garage keys ? They are n't on the bookshelf
0,[DATE] is ACCEPT [DURATION] . . U Accept me as ? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
1,"Think ur smart ? Win [MONEY] [MONEY] [DATE] [DATE] in our [SET] quiz , text PLAY to [NUMBER] now!T & Cs WinnersClub PO BOX [NUMBER] , M26 3UZ . [NUMBER] + . GBP1 [NUMBER] / [DURATION]"
0,He says he 'll give me a call when his friend 's got the money but that he 's definitely buying before [DATE] [DATE] [DATE] [DATE] [DATE]
0,"Hi the way I was with u 2day , is the normal way & this is the real me . UR unique & I hope I know u [NUMBER] the rest of mylife . Hope u find wot was lost ."
0,You made my [DURATION] . Do have a great [DURATION] too .
0,K.k : ) advance happy pongal .
0,"Hmmm ... Guess we can go [NUMBER] kb n power [RELIGION] ... Haha , du n no we can tahan power [RELIGION] anot ... Thk got lo oso , forgot liao ..."
0,"Not really dude , have no friends i 'm afraid : ("
1,[DATE] only ! Had your [TITLE] [NUMBER] mths + ? You are entitled to update to the latest colour camera [TITLE] for Free ! Call The [TITLE] Update Co FREE on [NUMBER]
0,"Coffee cake , i guess ..."
0,"Merry [DATE] to you too babe , i love ya * kisses *"
0,Hey ... Why dont we just go watch x men and have lunch ... Haha
0,cud u tell ppl im gona b a bit l8 cos [NUMBER] buses hav gon [DATE] cos they were full & im still waitin [NUMBER] [NUMBER] . [PERSON] [PERSON]
0,That would be great . We 'll be at the [LOCATION] . Could meet on [CITY] road or somewhere - will get in touch over [DATE] . Our plans take flight ! Have a good [DURATION]
0,No problem . How are you doing ?
0,No calls . . messages . . missed calls
0,Hi da : ) how is the [SET] class ?
0,"I 'd say that 's a good sign but , well , you know my track record at reading women"
0,"Cool , text me when you 're parked"
0,I 'm reading the text i just sent you . Its meant to be a joke . So read it in that light
0,K.k : ) apo k.good movie .
0,Maybe i could get book out tomo then return it immediately . . ? Or something .
1,Call [COUNTRY] for only [MONEY] [MONEY] per [DURATION] ! Call from a fixed line via access number [DATE] [NUMBER] [NUMBER] [NUMBER] . No prepayment . Direct access !
0,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer 's paperwork . Not cool at all . Please do not contact me again or I will report you to your [TITLE] .
1,Valentines [DURATION] Special ! Win over [MONEY] [DATE] in our quiz and take your partner on the trip of a lifetime ! Send GO to [NUMBER] [DATE] . 150p/msg rcvd . CustCare : [NUMBER] .
0,"Ta-Daaaaa ! I am home babe , are you still up ?"
0,Cool . So how come you havent been wined and dined before ?
0,Just sleeping . . and surfing
0,"Sorry , I 'll call later"
0,U calling me right ? Call my hand phone ...
0,Ok that 's great thanx a lot .
0,I take it the post has come then ! You must have [DATE] of texts [DATE] ! Happy reading . My [NUMBER] from wiv hello caroline at the end is my favourite . Bless him
0,Where u been hiding stranger ?
0,Am not interested to do like that .
0,My sister cleared [NUMBER] round in birla soft [DATE] .
0,Gudnite .... tc ... practice going on
0,Dis is yijue . I jus saw ur mail . In case huiming havent sent u my num . Dis is my num .
0,[NUMBER] small prestige problem [DATE] .
1,Fancy a shag ? I do.Interested ? [URL] txt XXUK SUZY to [NUMBER] . Txts cost [NUMBER] per msg . TnCs on website . X
0,Just checking in on you . Really do miss seeing [PERSON] . Do have a great [DURATION]
0,"Nah ca n't help you there , I 've never had an iphone"
0,If you 're not in my car in [DURATION] [DURATION] and a half I 'm going apeshit
0,"[DATE] is Sorry [DURATION] . ! If ever i was angry with you , if ever i misbehaved or hurt you ? plz plz JUST SLAP URSELF Bcoz , Its ur fault , I 'm basically GOOD"
0,Yo you guys ever figure out how much we need for alcohol ? [PERSON] and I are trying to figure out how much we can safely spend on weed
0,&lt; # &gt; ISH [DURATION] WAS [DATE] [DATE] [DATE] . [ORGANIZATION] .
0,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in [COUNTRY] Insha Allah.Rakhesh , ex Tata [ORGANIZATION] who joined [LOCATION] , [PERSON] ."
1,Congratulations ur awarded [NUMBER] of CD vouchers or 125gift guaranteed & Free entry [NUMBER] [NUMBER] wkly draw txt MUSIC to [NUMBER] TnCs [URL]
1,Ur cash-balance is [DATE] [MONEY] [MONEY] - to maximize ur cash-in [DATE] send CASH to [NUMBER] only 150p/msg . CC : [NUMBER] HG/Suite342/2Lands Row/W1J6HL
0,"I 'm an [TITLE] . When i work , i work in the [TIME] and sleep late . Since i 'm unemployed at the moment , i ALWAYS sleep late . When you 're unemployed , [SET] [SET] is [DATE] ."
0,"Hello ! Just got here , st andrews-boy its a long way ! Its cold . I will keep you posted"
0,Ha ha cool cool chikku chikku :-) : - DB - )
0,Oh ok no prob . .
0,Check audrey 's status [DATE] [DATE]
0,Busy here . Trying to finish for [DATE] [DATE] . I am looking forward to finally meeting you ...
0,"Good afternoon sunshine ! How dawns that [DURATION] ? Are we refreshed and happy to be alive ? Do we breathe in the air and smile ? I think of you , my love ... As always"
0,Well i know Z will take care of me . So no worries .
1,"Update _ [DATE] - [DATE] Offer ! Latest [ORGANIZATION] , [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] & FREE Bluetooth ! Double [DURATION] & [DATE] Txt on Orange . Call MobileUpd8 on [NUMBER] or call2optout/F4Q ="
1,Here is your discount code RP176781 . To stop further messages reply stop . [URL] . Customer Services [NUMBER]
0,Wat uniform ? In where get ?
0,"Cool , text me when you 're ready"
0,"Hello my boytoy ... Geeee I miss you already and I just woke up . I wish you were here in bed with me , cuddling me . I love you ..."
0,I will spoil you in bed as well : )
